Date    Flow
19590901      22
19590902     7.1
19590903     3.5
19590904     2.6
19590905       2
19590906     1.4
19590907     1.3
19590908     1.3
19590909     1.3
19590910     1.3
19590911       1
19590912     1.1
19590913     1.1
19590914     3.1
19590915     1.7
19590916     1.3
19590917     1.1
19590918     0.9
19590919     0.8
19590920     0.7
19590921     0.7
19590922     0.7
19590923      13
19590924      16
19590925      12
19590926     4.8
19590927     2.7
19590928     1.9
19590929     670
19590930      41
19591001      39
19591002      14
19591003      32
19591004    4810
19591005     449
19591006     218
19591007     197
19591008     155
19591009     131
19591010     125
19591011     105
19591012     100
19591013     585
19591014     506
19591015     241
19591016     218
19591017     190
19591018     166
19591019     143
19591020     134
19591021     125
19591022     113
19591023     108
19591024      96
19591025      94
19591026      90
19591027      80
19591028      82
19591029      84
19591030     103
19591031     110
19591101     100
19591102      96
19591103      90
19591104     187
19591105      76
19591106      66
19591107      78
19591108      68
19591109      68
19591110      70
19591111      68
19591112      69
19591113      78
19591114      74
19591115      78
19591116      78
19591117      66
19591118      61
19591119      64
19591120      63
19591121      59
19591122      61
19591123      59
19591124      55
19591125      50
19591126      48
19591127      44
19591128      42
19591129      42
19591130      42
19591201      42
19591202      41
19591203      39
19591204      39
19591205      38
19591206      35
19591207      35
19591208      35
19591209      35
19591210      36
19591211      42
19591212      45
19591213      36
19591214      35
19591215    1440
19591216     412
19591217     389
19591218     277
19591219     237
19591220     218
19591221     204
19591222     190
19591223     180
19591224     162
19591225     158
19591226     162
19591227     180
19591228     137
19591229     125
19591230     119
19591231     658
19600101     330
19600102     241
19600103     204
19600104     190
19600105    1470
19600106     598
19600107     390
19600108     328
19600109     289
19600110     269
19600111     249
19600112     241
19600113     225
19600114     225
19600115     169
19600116     172
19600117     534
19600118     218
19600119     186
19600120     180
19600121     172
19600122     166
19600123     152
19600124     149
19600125     146
19600126     146
19600127     137
19600128     125
19600129     110
19600130     108
19600131     108
19600201     105
19600202     108
19600203     677
19600204     245
19600205     183
19600206     162
19600207     152
19600208     146
19600209     140
19600210     116
19600211     105
19600212      98
19600213      98
19600214     100
19600215     105
19600216     103
19600217      96
19600218      90
19600219      86
19600220      96
19600221     116
19600222      92
19600223     103
19600224     100
19600225      86
19600226      86
19600227      86
19600228      84
19600229      78
19600301      86
19600302      94
19600303      88
19600304      80
19600305      78
19600306      76
19600307      74
19600308      76
19600309      76
19600310      72
19600311      66
19600312      61
19600313      59
19600314      64
19600315      66
19600316      59
19600317      55
19600318      52
19600319      50
19600320      47
19600321      45
19600322      44
19600323      42
19600324      42
19600325      41
19600326      68
19600327      64
19600328      52
19600329      47
19600330      41
19600331      39
19600401      39
19600402      35
19600403      34
19600404      33
19600405      31
19600406      30
19600407      29
19600408      29
19600409      28
19600410      28
19600411      28
19600412      28
19600413      29
19600414      28
19600415      27
19600416      26
19600417      25
19600418      21
19600419      21
19600420      21
19600421      21
19600422      19
19600423      18
19600424      18
19600425      41
19600426      21
19600427      23
19600428      23
19600429     123
19600430      88
19600501      28
19600502      24
19600503      22
19600504      21
19600505      21
19600506      19
19600507      16
19600508      15
19600509      15
19600510      15
19600511      13
19600512      12
19600513      12
19600514      12
19600515      12
19600516      10
19600517     9.6
19600518     9.6
19600519     9.6
19600520      28
19600521      18
19600522      12
19600523      10
19600524     9.6
19600525      16
19600526     240
19600527      25
19600528      15
19600529      12
19600530      12
19600531      11
19600601      11
19600602     9.2
19600603     7.8
19600604     7.4
19600605       6
19600606       5
19600607     7.8
19600608       6
19600609     3.8
19600610     3.1
19600611     2.4
19600612       2
19600613     2.4
19600614     1.9
19600615     1.4
19600616       1
19600617     0.8
19600618     0.8
19600619     0.8
19600620     0.8
19600621     0.8
19600622     0.8
19600623     0.8
19600624     0.8
19600625     2.7
19600626      16
19600627     6.7
19600628     3.8
19600629     2.2
19600630     1.6
19600701     1.4
19600702     1.1
19600703     0.9
19600704     0.8
19600705     0.8
19600706     0.8
19600707     108
19600708     266
19600709      12
19600710       6
19600711     3.8
19600712     2.6
19600713     1.7
19600714     1.6
19600715       1
19600716       1
19600717      16
19600718      16
19600719     8.7
19600720      29
19600721     8.7
19600722     5.7
19600723       4
19600724     2.6
19600725     1.7
19600726     1.1
19600727     0.8
19600728     0.6
19600729     0.5
19600730     0.4
19600731     0.4
19600801     0.4
19600802     0.3
19600803     0.3
19600804     0.3
19600805     0.3
19600806     0.2
19600807     0.2
19600808     0.2
19600809     0.2
19600810     0.2
19600811     0.2
19600812     0.2
19600813     0.2
19600814     0.2
19600815     0.2
19600816     0.2
19600817     0.2
19600818     0.4
